dutch,english,topic,section,example
woonplaats,place of residence,Topic 1,Filling out a form,Ik zie woonplaats.
zullen,will,Topic 1,Filling out a form,Ik ga zullen.
alleen,on my own,Topic 1,Welcome new neighbor,Ik ga alleen.
appen,to send a text message,Topic 1,Welcome new neighbor,Ik ga appen.
buren,neighbours,Topic 1,Welcome new neighbor,Ik ga buren.
buurvrouw,female neighbour,Topic 1,Welcome new neighbor,Ik zie buurvrouw.
geen,no,Topic 1,Welcome new neighbor,Ik ga geen.
getrouwd,married,Topic 1,Welcome new neighbor,Ik zie getrouwd.
graag,gladly,Topic 1,Welcome new neighbor,Ik zie graag.
hobby,hobby,Topic 1,Welcome new neighbor,Ik zie hobby.
houden van,to love,Topic 1,Welcome new neighbor,Ik zie houden van.
huis,house,Topic 1,Welcome new neighbor,Ik zie huis.
jullie,you [plural],Topic 1,Welcome new neighbor,Ik zie jullie.
kind,child,Topic 1,Welcome new neighbor,Ik zie kind.
koken,to cook,Topic 1,Welcome new neighbor,Ik ga koken.
met,with,Topic 1,Welcome new neighbor,Ik zie met.
nog,yet,Topic 1,Welcome new neighbor,Ik zie nog.
ontmoeten,to meet,Topic 1,Welcome new neighbor,Ik ga ontmoeten.
oud,old,Topic 1,Welcome new neighbor,Ik zie oud.
poes,cat,Topic 1,Welcome new neighbor,Ik zie poes.
restaurant,restaurant,Topic 1,Welcome new neighbor,Ik zie restaurant.
sporten,to do sports,Topic 1,Welcome new neighbor,Ik ga drie keer per week sporten.
week,week,Topic 1,Welcome new neighbor,Ik zie week.
weekend,weekend,Topic 1,Welcome new neighbor,Ik zie weekend.
welkom,welcome,Topic 1,Welcome new neighbor,Ik zie welkom.
wie,who,Topic 1,Welcome new neighbor,Ik zie wie.
willen,to want,Topic 1,Welcome new neighbor,Ik ga willen.
ander,other,Topic 2,Who does the shopping?,Ik zie ander.
appel,apple,Topic 2,Who does the shopping?,Ik zie appel.
banaan,banana,Topic 2,Who does the shopping?,Ik zie banaan.
bijna,almost,Topic 2,Who does the shopping?,Ik zie bijna.
boodschappen,groceries,Topic 2,Who does the shopping?,Ik ga boodschappen.
doen,to do,Topic 2,Who does the shopping?,Ik ga doen.
dus,so,Topic 2,Who does the shopping?,Ik zie dus.
eten,food,Topic 2,Who does the shopping?,We gaan eten.
fruit,fruit,Topic 2,Who does the shopping?,Ik zie fruit.
groente,vegetable,Topic 2,Who does the shopping?,Ik zie groente.
kip,chicken,Topic 2,Who does the shopping?,Ik zie kip.
kopen,to buy,Topic 2,Who does the shopping?,Ik ga kopen.
lijst,list,Topic 2,Who does the shopping?,Ik zie lijst.
maken,to make,Topic 2,Who does the shopping?,Ik ga maken.
markt,market,Topic 2,Who does the shopping?,Ik zie markt.
meer,more,Topic 2,Who does the shopping?,Ik wil meer fruit eten.
of,or,Topic 2,Who does the shopping?,Ik zie of.
praten,to talk,Topic 2,Who does the shopping?,Ik ga praten.
rijst,rice,Topic 2,Who does the shopping?,Ik zie rijst.
supermarkt,supermarket,Topic 2,Who does the shopping?,Ik zie supermarkt.
thuis,at home,Topic 2,Who does the shopping?,Ik zie thuis.
tomaat,tomato,Topic 2,Who does the shopping?,Ik zie tomaat.
vis,fish,Topic 2,Who does the shopping?,Ik zie vis.
vlees,meat,Topic 2,Who does the shopping?,Ik zie vlees.
we,we,Topic 2,Who does the shopping?,Ik zie we.
wortel,carrot,Topic 2,Who does the shopping?,Ik zie wortel.
aardappel,potato,Topic 2,How can I help you?,Ik zie aardappel.
alsjeblieft,please / here you go,Topic 2,How can I help you?,Ik zie alsjeblieft.
alstublieft,please / here you go,Topic 2,How can I help you?,Ik zie alstublieft.
anders,else,Topic 2,How can I help you?,Ik zie anders.
dag,bye,Topic 2,How can I help you?,Ik zie dag.
dan,then,Topic 2,How can I help you?,Ik zie dan.
ei,egg,Topic 2,How can I help you?,Ik zie ei.
fijn,nice,Topic 2,How can I help you?,Ik zie fijn.
goed,good,Topic 2,How can I help you?,Ik zie goed.
gram,gram,Topic 2,How can I help you?,Ik zie gram.
hoeveel,how much,Topic 2,How can I help you?,Ik zie hoeveel.
iets,something,Topic 2,How can I help you?,Ik zie iets.
jammer,too bad,Topic 2,How can I help you?,Ik zie jammer.
kaas,cheese,Topic 2,How can I help you?,Ik zie kaas.
kijken,to look,Topic 2,How can I help you?,Ik ga kijken.
kilo,kilo,Topic 2,How can I help you?,Ik zie kilo.
mevrouw,madam,Topic 2,How can I help you?,Ik zie mevrouw.
mogen,to may,Topic 2,How can I help you?,Ik ga mogen.
nee,no,Topic 2,How can I help you?,Ik zie nee.
nemen,to take,Topic 2,How can I help you?,Ik ga nemen.
pinnen,to pay by debit card,Topic 2,How can I help you?,Ik ga pinnen.
verkoper,seller,Topic 2,How can I help you?,Ik zie verkoper.
voor,for,Topic 2,How can I help you?,Ik zie voor.
zeggen,to say,Topic 2,How can I help you?,Ik ga zeggen.
altijd,always,Topic 2,Where do you shop?,Ik zie altijd.
bakker,baker,Topic 2,Where do you shop?,Ik zie bakker.
brood,bread,Topic 2,Where do you shop?,Ik zie brood.
buurt,neighbourhood,Topic 2,Where do you shop?,Ik zie buurt.
dinsdag,Tuesday,Topic 2,Where do you shop?,Ik zie dinsdag.
duur,expensive,Topic 2,Where do you shop?,Ik zie duur.
goedkoop,cheap,Topic 2,Where do you shop?,Ik zie goedkoop.
halen,to get,Topic 2,Where do you shop?,Ik ga halen.
hier,here,Topic 2,Where do you shop?,Ik zie hier.
hoor,that's fine,Topic 2,Where do you shop?,Ik zie hoor.
kennen,to know,Topic 2,Where do you shop?,Ik ga kennen.
meestal,usually,Topic 2,Where do you shop?,Ik zie meestal.
middag,afternoon,Topic 2,Where do you shop?,Ik zie middag.
natuurlijk,of course,Topic 2,Where do you shop?,Dat is natuurlijk.
ochtend,morning,Topic 2,Where do you shop?,Ik zie ochtend.
soms,sometimes,Topic 2,Where do you shop?,Ik zie soms.
straat,street,Topic 2,Where do you shop?,Ik zie straat.
veel,many,Topic 2,Where do you shop?,Ik zie veel.
ver,far,Topic 2,Where do you shop?,Ik zie ver.
vers,fresh,Topic 2,Where do you shop?,Ik zie vers.
vragen,to ask,Topic 2,Where do you shop?,Ik ga vragen.
wanneer,when,Topic 2,Where do you shop?,Ik zie wanneer.
wel,on the other hand,Topic 2,Where do you shop?,Ik zie wel.
welk,which,Topic 2,Where do you shop?,Ik zie welk.
zaterdag,Saturday,Topic 2,Where do you shop?,Ik zie zaterdag.
zien,to see,Topic 2,Where do you shop?,Ik ga zien.
chips,potato chips,Topic 2,Is the Jumbo still open?,Ik koop chips voor het feestje.
denken,to think,Topic 2,Is the Jumbo still open?,Ik denk dat de winkel dicht is.
dicht,closed,Topic 2,Is the Jumbo still open?,De supermarkt is nu dicht.
fietsen,to (ride a) bike,Topic 2,Is the Jumbo still open?,Ik ga fietsen naar de winkel.
half,half,Topic 2,Is the Jumbo still open?,Het is half acht.
internet,Internet,Topic 2,Is the Jumbo still open?,Ik zoek op internet.
keuken,kitchen,Topic 2,Is the Jumbo still open?,Ik kook in de keuken.
laat,late,Topic 2,Is the Jumbo still open?,We eten laat vanavond.
leeg,empty,Topic 2,Is the Jumbo still open?,Mijn koelkast is leeg.
liggen,to lie,Topic 2,Is the Jumbo still open?,De sleutels liggen op tafel.
maandag,Monday,Topic 2,Is the Jumbo still open?,Op maandag werk ik.
open,open,Topic 2,Is the Jumbo still open?,De winkel is open.
openingstijden,opening hours,Topic 2,Is the Jumbo still open?,Wat zijn de openingstijden?
's avonds,in the evening,Topic 2,Is the Jumbo still open?,'s Avonds kook ik eten.
's middags,in the afternoon,Topic 2,Is the Jumbo still open?,'s Middags ga ik boodschappen doen.
's morgens,in the morning,Topic 2,Is the Jumbo still open?,'s Morgens drink ik koffie.
's nachts,at night,Topic 2,Is the Jumbo still open?,'s Nachts slaap ik.
's ochtends,in the morning,Topic 2,Is the Jumbo still open?,'s Ochtends lees ik de krant.
snel,fast,Topic 2,Is the Jumbo still open?,Ik loop snel naar huis.
tot,until,Topic 2,Is the Jumbo still open?,De winkel is open tot 8 uur.
uur,o'clock,Topic 2,Is the Jumbo still open?,Het is 3 uur.
weten,to know,Topic 2,Is the Jumbo still open?,Ik weet het niet.
zak,bag,Topic 2,Is the Jumbo still open?,Ik heb een zak appels.
alles,everything,Topic 3,Nice weather right?,Alles gaat goed.
beterschap,get well soon,Topic 3,Nice weather right?,Beterschap! Word snel beter.
bezig,doing (well),Topic 3,Nice weather right?,Ik ben bezig met koken.
broer,brother,Topic 3,Nice weather right?,Mijn broer woont in Utrecht.
daar,there,Topic 3,Nice weather right?,Daar staat mijn auto.
druk,busy,Topic 3,Nice weather right?,Ik heb het erg druk.
een beetje,a little bit,Topic 3,Nice weather right?,Ik spreek een beetje Nederlands.
eindelijk,finally,Topic 3,Nice weather right?,Eindelijk is het weekend!
groet,greeting,Topic 3,Nice weather right?,Groet je familie van mij.
lekker,nice,Topic 3,Nice weather right?,Het eten is lekker.
lopen,to walk,Topic 3,Nice weather right?,Ik ga lopen in het park.
moeder,mother,Topic 3,Nice weather right?,Mijn moeder belt me elke dag.
morgen,tomorrow,Topic 3,Nice weather right?,Morgen ga ik werken.
paracetamol,paracetamol,Topic 3,Nice weather right?,Ik neem paracetamol tegen hoofdpijn.
prima,fine,Topic 3,Nice weather right?,Het gaat prima met mij.
steeds,still,Topic 3,Nice weather right?,Het regent steeds.
vervelend,unpleasant,Topic 3,Nice weather right?,Dat is vervelend voor je.
vriend,friend (male),Topic 3,Nice weather right?,Mijn vriend komt vanavond.
vriendin,friend (female),Topic 3,Nice weather right?,Mijn vriendin is erg aardig.
waarom,why,Topic 3,Nice weather right?,Waarom ben je zo laat?
warm,warm,Topic 3,Nice weather right?,Het is warm vandaag.
weer,weather,Topic 3,Nice weather right?,Kom je weer langs?
worden,to become,Topic 3,Nice weather right?,Ik word moe.
ziek,ill,Topic 3,Nice weather right?,Ik ben ziek.
zo,so,Topic 3,Nice weather right?,Zo doe je dat.
zon,sun,Topic 3,Nice weather right?,De zon schijnt.
zus,sister,Topic 3,Nice weather right?,Mijn zus heeft twee kinderen.
bezoek,visit,Topic 3,Nice to see you,We krijgen bezoek.
binnenkomen,to come in,Topic 3,Nice to see you,Kom binnen!
drinken,to drink,Topic 3,Nice to see you,Wil je iets drinken?
eruitzien,to look,Topic 3,Nice to see you,Je ziet er goed uit.
geven,to give,Topic 3,Nice to see you,Kan je me het zout geven?
horen,to hear,Topic 3,Nice to see you,Ik hoor muziek.
huilen,to cry,Topic 3,Nice to see you,Het kind begint te huilen.
jas,coat,Topic 3,Nice to see you,Doe je jas aan.
jongen,boy,Topic 3,Nice to see you,Die jongen is mijn zoon.
klein,little,Topic 3,Nice to see you,Ons huis is klein.
koffie,coffee,Topic 3,Nice to see you,Ik drink graag koffie.
lachen,to laugh,Topic 3,Nice to see you,We lachen veel samen.
lief,sweet,Topic 3,Nice to see you,Wat een lief kind.
melk,milk,Topic 3,Nice to see you,Ik doe melk in mijn thee.
moe,tired,Topic 3,Nice to see you,Ik ben moe.
slapen,to sleep,Topic 3,Nice to see you,Ik ga slapen.
suiker,sugar,Topic 3,Nice to see you,Wil je suiker in je koffie?
thee,tea,Topic 3,Nice to see you,Ik drink thee.
zelf,self,Topic 3,Nice to see you,Ik doe het zelf.
zitten,to sit,Topic 3,Nice to see you,Kom zitten.
zonder,without,Topic 3,Nice to see you,Ik drink koffie zonder suiker.
zwart,black,Topic 3,Nice to see you,Ik heb een zwarte kat.
avond,evening,Topic 3,Come watch football with me?,Vanavond kijk ik tv.
beginnen,to start,Topic 3,Come watch football with me?,We beginnen om 9 uur.
begrijpen,to understand,Topic 3,Come watch football with me?,Ik begrijp je niet.
bellen,to call (by telephone),Topic 3,Come watch football with me?,Ik ga mijn moeder bellen.
bier,beer,Topic 3,Come watch football with me?,Wil je een biertje?
blijven,to stay,Topic 3,Come watch football with me?,Ik blijf thuis.
deze,this,Topic 3,Come watch football with me?,Deze appel is lekker.
die,those,Topic 3,Come watch football with me?,Die man ken ik.
echt,really,Topic 3,Come watch football with me?,Dat is echt waar.
eten,to eat,Topic 3,Come watch football with me?,We gaan eten.
genoeg,enough,Topic 3,Come watch football with me?,Ik heb genoeg gegeten.
gezellig,nice,Topic 3,Come watch football with me?,Het is hier gezellig.
heel,whole,Topic 3,Come watch football with me?,Het is heel mooi.
keer,occasion,Topic 3,Come watch football with me?,Dit is de eerste keer.
later,later,Topic 3,Come watch football with me?,Tot later!
lawaai,noise,Topic 3,Come watch football with me?,Er is veel lawaai.
luisteren,to listen,Topic 3,Come watch football with me?,Ik luister naar muziek.
rustig,quiet,Topic 3,Come watch football with me?,Het is rustig hier.
uitnodigen,to invite,Topic 3,Come watch football with me?,Ik nodig je uit.
vakantie,holiday,Topic 3,Come watch football with me?,Ik ga op vakantie.
voetbal,football,Topic 3,Come watch football with me?,Ik kijk naar voetbal.
vrijdag,Friday,Topic 3,Come watch football with me?,Op vrijdag werk ik niet.
weer,again,Topic 3,Come watch football with me?,Kom je weer langs?
weg,away,Topic 3,Come watch football with me?,Ik ga weg.
afgesproken,it's a deal,Topic 3,Congratulations!,Afgesproken! Tot morgen.
afspraak,appointment,Topic 3,Congratulations!,Ik heb een afspraak.
baan,job,Topic 3,Congratulations!,Ik heb een nieuwe baan.
bericht,message,Topic 3,Congratulations!,Ik stuur je een bericht.
blij,happy,Topic 3,Congratulations!,Ik ben blij.
februari,February,Topic 3,Congratulations!,In februari is het koud.
feestje,party,Topic 3,Congratulations!,We geven een feestje.
feliciteren,to congratulate,Topic 3,Congratulations!,Ik feliciteer je.
gauw,soon,Topic 3,Congratulations!,Tot gauw!
gefeliciteerd,congratulations,Topic 3,Congratulations!,Gefeliciteerd met je verjaardag!
geleden,ago,Topic 3,Congratulations!,Dat was lang geleden.
januari,January,Topic 3,Congratulations!,Januari is de eerste maand.
jarig,(having a) birthday,Topic 3,Congratulations!,Ik ben morgen jarig.
klinken,to sound,Topic 3,Congratulations!,Dat klinkt goed.
krijgen,to receive,Topic 3,Congratulations!,Ik krijg een cadeau.
misschien,maybe,Topic 3,Congratulations!,Misschien kom ik.
net,just,Topic 3,Congratulations!,Ik ben net thuis.
nieuws,news,Topic 3,Congratulations!,Heb je het nieuws gehoord?
succes,success,Topic 3,Congratulations!,Succes met je examen!
uitnodiging,invitation,Topic 3,Congratulations!,Dank je voor de uitnodiging.
vanavond,tonight,Topic 3,Congratulations!,Vanavond ga ik uit.
vandaag,today,Topic 3,Congratulations!,Vandaag is het mooi weer.
verjaardag,birthday,Topic 3,Congratulations!,Mijn verjaardag is in mei.
volgend,next,Topic 3,Congratulations!,Volgend jaar ga ik verhuizen.
zeker,definitely,Topic 3,Congratulations!,Dat weet ik zeker.
allerlei,all kinds of,Topic 4,What do we eat tonight,Er zijn allerlei soorten fruit.
boter,butter,Topic 4,What do we eat tonight,Ik smeer boter op mijn brood.
fles,bottle,Topic 4,What do we eat tonight,Ik koop een fles water.
gezond,healthy,Topic 4,What do we eat tonight,Fruit is gezond.
groot,large,Topic 4,What do we eat tonight,Dit is een grote appel.
klaar,ready,Topic 4,What do we eat tonight,Het eten is klaar.
koelkast,fridge,Topic 4,What do we eat tonight,De melk staat in de koelkast.
langs,by,Topic 4,What do we eat tonight,Ik ga langs de bakker.
meenemen,to bring (along),Topic 4,What do we eat tonight,Ik neem lunch mee.
moeten,to have to,Topic 4,What do we eat tonight,Ik moet boodschappen doen.
niks,nothing,Topic 4,What do we eat tonight,Er is niks in de koelkast.
nodig,(have a) need,Topic 4,What do we eat tonight,Wat heb je nodig?
over,in,Topic 4,What do we eat tonight,Over een uur eten we.
soep,soup,Topic 4,What do we eat tonight,Ik maak tomatensoep.
staan,to stand,Topic 4,What do we eat tonight,De pan staat op het fornuis.
straks,later,Topic 4,What do we eat tonight,Straks gaan we eten.
toetje,dessert,Topic 4,What do we eat tonight,Als toetje eten we ijs.
ui,onion,Topic 4,What do we eat tonight,Ik snijd een ui.
vinden,to find,Topic 4,What do we eat tonight,Waar kan ik brood vinden?
water,water,Topic 4,What do we eat tonight,Ik drink veel water.
wijn,wine,Topic 4,What do we eat tonight,Bij het eten drink ik wijn.
yoghurt,yogurt,Topic 4,What do we eat tonight,Ik eet yoghurt bij het ontbijt.
zout,salt,Topic 4,What do we eat tonight,Er zit te veel zout in.
avondeten,dinner,Topic 4,What would you like to eat,We eten om 6 uur avondeten.
boterham,sandwich,Topic 4,What would you like to eat,Ik eet een boterham.
broodje,sandwich,Topic 4,What would you like to eat,Ik koop een broodje.
ding,thing,Topic 4,What would you like to eat,Wat is dat voor ding?
doordeweeks,during the week,Topic 4,What would you like to eat,Doordeweeks eet ik snel.
gek,crazy,Topic 4,What would you like to eat,Dat is gek.
havermout,oatmeal,Topic 4,What would you like to eat,Ik eet havermout als ontbijt.
jam,jam,Topic 4,What would you like to eat,Ik doe jam op mijn brood.
koud,cold,Topic 4,What would you like to eat,De soep is koud.
lijken,to seem,Topic 4,What would you like to eat,Je lijkt moe.
lunchen,to have lunch,Topic 4,What would you like to eat,We gaan lunchen.
Nederlander,Dutchman,Topic 4,What would you like to eat,Ik ben geen Nederlander.
noedels,noodles,Topic 4,What would you like to eat,Ik kook Chinese noedels.
nooit,never,Topic 4,What would you like to eat,Ik eet nooit vlees.
ontbijt,breakfast,Topic 4,What would you like to eat,Ik eet ontbijt om 7 uur.
pasta,pasta,Topic 4,What would you like to eat,Vanavond eten we pasta.
salade,salad,Topic 4,What would you like to eat,Ik maak een salade.
sinaasappelsap,orange juice,Topic 4,What would you like to eat,Ik drink sinaasappelsap.
trein,train,Topic 4,What would you like to eat,Ik eet in de trein.
tussen,between,Topic 4,What would you like to eat,Tussen de maaltijden eet ik fruit.
vaak,often,Topic 4,What would you like to eat,Ik kook vaak pasta.
vanmiddag,this afternoon,Topic 4,What would you like to eat,Vanmiddag ga ik boodschappen doen.
vegetariër,vegetarian,Topic 4,What would you like to eat,Ik ben vegetariër.
zoet,sweet,Topic 4,What would you like to eat,Deze appel is zoet.
advies,advice,Topic 4,How Healthy,Kan je me advies geven?
afvallen,to lose weight,Topic 4,How Healthy,Ik wil afvallen.
bewegen,to move,Topic 4,How Healthy,Ik moet meer bewegen.
buik,belly,Topic 4,How Healthy,Mijn buik doet pijn.
cola,cola,Topic 4,How Healthy,Ik drink geen cola.
dik,big,Topic 4,How Healthy,Deze boom is dik.
frisdrank,soda,Topic 4,How Healthy,Frisdrank is ongezond.
gelijk hebben,to be right,Topic 4,How Healthy,Je hebt gelijk.
hamburger,hamburger,Topic 4,How Healthy,Ik eet een hamburger.
ieder,every,Topic 4,How Healthy,Ieder kind krijgt snoep.
leven,to live,Topic 4,How Healthy,Ik wil gezond leven.
meer,more,Topic 4,How Healthy,Ik wil meer fruit eten.
minder,less,Topic 4,How Healthy,Ik eet minder suiker.
ongezond,unhealthy,Topic 4,How Healthy,Snoep is ongezond.
pakken,to grab,Topic 4,How Healthy,Pak een appel.
patat,fries,Topic 4,How Healthy,Patat is lekker maar ongezond.
probleem,problem,Topic 4,How Healthy,Dat is geen probleem.
snappen,to understand,Topic 4,How Healthy,Snap je wat ik bedoel?
sporten,to do sports,Topic 4,How Healthy,Ik ga drie keer per week sporten.
toch,don't you?,Topic 4,How Healthy,Je komt toch?
tussendoor,in between,Topic 4,How Healthy,Tussendoor eet ik een appel.
vet,fat,Topic 4,How Healthy,Dit eten is te vet.
wegen,to weigh,Topic 4,How Healthy,Hoeveel weeg je?
weinig,little,Topic 4,How Healthy,Ik eet weinig vlees.
afhalen,to take away,Topic 4,Eating Out,We halen Chinees eten af.
alle,all,Topic 4,Eating Out,Alle restaurants zijn dicht.
bestellen,to order,Topic 4,Eating Out,Ik ga pizza bestellen.
bezorgen,to deliver,Topic 4,Eating Out,Ze bezorgen het eten.
bijvoorbeeld,for example,Topic 4,Eating Out,Bijvoorbeeld pizza of pasta.
buiten,outdoors,Topic 4,Eating Out,We eten buiten op het terras.
daarom,therefore,Topic 4,Eating Out,Daarom ga ik niet.
haring,herring,Topic 4,Eating Out,Haring is typisch Nederlands.
internationaal,international,Topic 4,Eating Out,Ik houd van internationaal eten.
laat,late,Topic 4,Eating Out,We eten laat vanavond.
land,country,Topic 4,Eating Out,In welk land woon je?
manier,manner,Topic 4,Eating Out,Op deze manier kook je pasta.
mayonaise,mayonnaise,Topic 4,Eating Out,Ik doe mayonaise bij de patat.
mens,man,Topic 4,Eating Out,Elke mens moet eten.
overal,everywhere,Topic 4,Eating Out,Overal zijn restaurants.
plaats,space,Topic 4,Eating Out,Is er nog plaats?
proeven,to taste,Topic 4,Eating Out,Mag ik even proeven?
reserveren,to reserve,Topic 4,Eating Out,Ik wil een tafel reserveren.
smaken,tastes,Topic 4,Eating Out,Dit smaakt goed.
stamppot,mashed potato dish,Topic 4,Eating Out,Stamppot is traditioneel Nederlands eten.
tafel,table,Topic 4,Eating Out,We zitten aan tafel.
terras,terrace,Topic 4,Eating Out,We zitten op het terras.
typisch,typical,Topic 4,Eating Out,Dat is typisch Nederlands.
verschillend,different,Topic 4,Eating Out,Er zijn verschillende soorten kaas.
vroeg,early,Topic 4,Eating Out,We eten vroeg vanavond.
zoals,such as,Topic 4,Eating Out,Fruit zoals appels en peren.
appartement,apartment,Topic 5,This is my house,Ik zie appartement.
badkamer,bathroom,Topic 5,This is my house,Ik zie badkamer.
balkon,balcony,Topic 5,This is my house,Ik zie balkon.
betalen,to pay,Topic 5,This is my house,Ik ga betalen.
centrum,centre,Topic 5,This is my house,Ik zie centrum.
delen,to share,Topic 5,This is my house,Ik ga delen.
eigen,own,Topic 5,This is my house,Ik ga eigen.
familie,family,Topic 5,This is my house,Ik zie familie.
gebruiken,to use,Topic 5,This is my house,Ik ga gebruiken.
gezin,family,Topic 5,This is my house,Ik zie gezin.
hoog,high,Topic 5,This is my house,Ik zie hoog.
huisgenoot,roommate,Topic 5,This is my house,Ik zie huisgenoot.
huur,rent,Topic 5,This is my house,Ik zie huur.
informatie,information,Topic 5,This is my house,Ik zie informatie.
kamer,room,Topic 5,This is my house,Ik zie kamer.
maar,only,Topic 5,This is my house,Ik zie maar.
plek,place,Topic 5,This is my house,Ik zie plek.
rijtjeshuis,row house,Topic 5,This is my house,Ik zie rijtjeshuis.
slaapkamer,bedroom,Topic 5,This is my house,Ik zie slaapkamer.
tuin,garden,Topic 5,This is my house,Ik zie tuin.
verdieping,floor,Topic 5,This is my house,Ik zie verdieping.
vierkante meter,square metre,Topic 5,This is my house,Ik zie vierkante meter.
vlakbij,nearby,Topic 5,This is my house,Ik zie vlakbij.
vrijstaand,detached,Topic 5,This is my house,Ik zie vrijstaand.
wc,toilet,Topic 5,This is my house,Ik zie wc.
bed,bed,Topic 5,Note in Apartment,Ik zie bed.
ervaring,experience,Topic 5,Note in Apartment,Ik zie ervaring.
flat,block of flats,Topic 5,Note in Apartment,Ik zie flat.
hulp,help,Topic 5,Note in Apartment,Ik zie hulp.
klussen,to do odd jobs,Topic 5,Note in Apartment,Ik ga klussen.
kwijt,lost,Topic 5,Note in Apartment,Ik zie kwijt.
laag,low,Topic 5,Note in Apartment,Ik zie laag.
langskomen,to come by,Topic 5,Note in Apartment,Ik ga langskomen.
meisje,girl,Topic 5,Note in Apartment,Ik zie meisje.
mooi,beautiful,Topic 5,Note in Apartment,Ik zie mooi.
ongeveer,about,Topic 5,Note in Apartment,Ik zie ongeveer.
ophalen,to pick up,Topic 5,Note in Apartment,Ik ga ophalen.
oppas,babysitter,Topic 5,Note in Apartment,Ik zie oppas.
